"level0","level1","level2","Age group and sex","count"
"30–34 Years","Selwyn","South Island general electorates","Female",1575
"35–39 Years","Selwyn","South Island general electorates","Female",2073
"40–44 Years","Selwyn","South Island general electorates","Female",2601
"45–49 Years","Selwyn","South Island general electorates","Female",2490
"50–54 Years","Selwyn","South Island general electorates","Female",2322
"55–59 Years","Selwyn","South Island general electorates","Female",1947
"60–64 Years","Selwyn","South Island general electorates","Female",1761
"65–69 Years","Selwyn","South Island general electorates","Female",1344
"70–74 Years","Selwyn","South Island general electorates","Female",942
"75–79 Years","Selwyn","South Island general electorates","Female",570
"80–84 Years","Selwyn","South Island general electorates","Female",336
"85 Years And Over","Selwyn","South Island general electorates","Female",246
"18 Years And Over","Selwyn","South Island general electorates","Female",21636
"0–4 Years","Waimakariri","South Island general electorates","Female",1746
"5–9 Years","Waimakariri","South Island general electorates","Female",1980
"10–14 Years","Waimakariri","South Island general electorates","Female",2094
"15–19 Years","Waimakariri","South Island general electorates","Female",1899
"20–24 Years","Waimakariri","South Island general electorates","Female",1254
"25–29 Years","Waimakariri","South Island general electorates","Female",1194
"30–34 Years","Waimakariri","South Island general electorates","Female",1407
"35–39 Years","Waimakariri","South Island general electorates","Female",1860
"40–44 Years","Waimakariri","South Island general electorates","Female",2508
"45–49 Years","Waimakariri","South Island general electorates","Female",2412
"50–54 Years","Waimakariri","South Island general electorates","Female",2352
"55–59 Years","Waimakariri","South Island general electorates","Female",2082
"60–64 Years","Waimakariri","South Island general electorates","Female",1977
"65–69 Years","Waimakariri","South Island general electorates","Female",1755
"70–74 Years","Waimakariri","South Island general electorates","Female",1380
"75–79 Years","Waimakariri","South Island general electorates","Female",951
"80–84 Years","Waimakariri","South Island general electorates","Female",693
"85 Years And Over","Waimakariri","South Island general electorates","Female",609
"18 Years And Over","Waimakariri","South Island general electorates","Female",23061
"0–4 Years","Waitaki","South Island general electorates","Female",1878
"5–9 Years","Waitaki","South Island general electorates","Female",2001
"10–14 Years","Waitaki","South Island general electorates","Female",2031
"15–19 Years","Waitaki","South Island general electorates","Female",1485
"20–24 Years","Waitaki","South Island general electorates","Female",1236
"25–29 Years","Waitaki","South Island general electorates","Female",1359
"30–34 Years","Waitaki","South Island general electorates","Female",1677
"35–39 Years","Waitaki","South Island general electorates","Female",1929
"40–44 Years","Waitaki","South Island general electorates","Female",2340
"45–49 Years","Waitaki","South Island general electorates","Female",2448
"50–54 Years","Waitaki","South Island general electorates","Female",2625
"55–59 Years","Waitaki","South Island general electorates","Female",2397
"60–64 Years","Waitaki","South Island general electorates","Female",2442
"65–69 Years","Waitaki","South Island general electorates","Female",2205
"70–74 Years","Waitaki","South Island general electorates","Female",1686
"75–79 Years","Waitaki","South Island general electorates","Female",1113
"80–84 Years","Waitaki","South Island general electorates","Female",915
"85 Years And Over","Waitaki","South Island general electorates","Female",888
"18 Years And Over","Waitaki","South Island general electorates","Female",25611
"0–4 Years","West Coast-Tasman","South Island general electorates","Female",1932
"5–9 Years","West Coast-Tasman","South Island general electorates","Female",1959
"10–14 Years","West Coast-Tasman","South Island general electorates","Female",2004
"15–19 Years","West Coast-Tasman","South Island general electorates","Female",1608
"20–24 Years","West Coast-Tasman","South Island general electorates","Female",1359
"25–29 Years","West Coast-Tasman","South Island general electorates","Female",1371
"30–34 Years","West Coast-Tasman","South Island general electorates","Female",1614
"35–39 Years","West Coast-Tasman","South Island general electorates","Female",1923
"40–44 Years","West Coast-Tasman","South Island general electorates","Female",2454
"45–49 Years","West Coast-Tasman","South Island general electorates","Female",2514
"50–54 Years","West Coast-Tasman","South Island general electorates","Female",2706
"55–59 Years","West Coast-Tasman","South Island general electorates","Female",2364
"60–64 Years","West Coast-Tasman","South Island general electorates","Female",2163
"65–69 Years","West Coast-Tasman","South Island general electorates","Female",1842
"70–74 Years","West Coast-Tasman","South Island general electorates","Female",1287
"75–79 Years","West Coast-Tasman","South Island general electorates","Female",876
"80–84 Years","West Coast-Tasman","South Island general electorates","Female",591
"85 Years And Over","West Coast-Tasman","South Island general electorates","Female",594
"18 Years And Over","West Coast-Tasman","South Island general electorates","Female",24189
"0–4 Years","Wigram","South Island general electorates","Female",1929
"5–9 Years","Wigram","South Island general electorates","Female",1557
"10–14 Years","Wigram","South Island general electorates","Female",1539
"15–19 Years","Wigram","South Island general electorates","Female",1962
"20–24 Years","Wigram","South Island general electorates","Female",3078
"25–29 Years","Wigram","South Island general electorates","Female",2478
"30–34 Years","Wigram","South Island general electorates","Female",2247
"35–39 Years","Wigram","South Island general electorates","Female",1935
"40–44 Years","Wigram","South Island general electorates","Female",1986
"45–49 Years","Wigram","South Island general electorates","Female",1821
"50–54 Years","Wigram","South Island general electorates","Female",1887
"55–59 Years","Wigram","South Island general electorates","Female",1713
"60–64 Years","Wigram","South Island general electorates","Female",1464
"65–69 Years","Wigram","South Island general electorates","Female",1290
