"level0","level1","level2","Birthplace (broad geographic area) and years since arrival in New Zealand ","count"
"Pacific Islands(4)","Rimutaka","North Island general electorates","20 Years or More",1314
"United Kingdom and Ireland(5)","Rimutaka","North Island general electorates","20 Years or More",2937
"Europe (excluding United Kingdom and Ireland)","Rimutaka","North Island general electorates","20 Years or More",567
"North America","Rimutaka","North Island general electorates","20 Years or More",93
"Asia","Rimutaka","North Island general electorates","20 Years or More",729
"Middle East and Africa","Rimutaka","North Island general electorates","20 Years or More",117
"Other","Rimutaka","North Island general electorates","20 Years or More",30
"Not elsewhere included(7)","Rimutaka","North Island general electorates","20 Years or More",NA
"Australia(3)","Rodney","North Island general electorates","20 Years or More",588
"Pacific Islands(4)","Rodney","North Island general electorates","20 Years or More",270
"United Kingdom and Ireland(5)","Rodney","North Island general electorates","20 Years or More",4314
"Europe (excluding United Kingdom and Ireland)","Rodney","North Island general electorates","20 Years or More",603
"North America","Rodney","North Island general electorates","20 Years or More",237
"Asia","Rodney","North Island general electorates","20 Years or More",330
"Middle East and Africa","Rodney","North Island general electorates","20 Years or More",195
"Other","Rodney","North Island general electorates","20 Years or More",57
"Not elsewhere included(7)","Rodney","North Island general electorates","20 Years or More",NA
"Australia(3)","Rongotai","North Island general electorates","20 Years or More",432
"Pacific Islands(4)","Rongotai","North Island general electorates","20 Years or More",1104
"United Kingdom and Ireland(5)","Rongotai","North Island general electorates","20 Years or More",2109
"Europe (excluding United Kingdom and Ireland)","Rongotai","North Island general electorates","20 Years or More",981
"North America","Rongotai","North Island general electorates","20 Years or More",222
"Asia","Rongotai","North Island general electorates","20 Years or More",1416
"Middle East and Africa","Rongotai","North Island general electorates","20 Years or More",240
"Other","Rongotai","North Island general electorates","20 Years or More",51
"Not elsewhere included(7)","Rongotai","North Island general electorates","20 Years or More",NA
"Australia(3)","Rotorua","North Island general electorates","20 Years or More",477
"Pacific Islands(4)","Rotorua","North Island general electorates","20 Years or More",357
"United Kingdom and Ireland(5)","Rotorua","North Island general electorates","20 Years or More",2211
"Europe (excluding United Kingdom and Ireland)","Rotorua","North Island general electorates","20 Years or More",534
"North America","Rotorua","North Island general electorates","20 Years or More",114
"Asia","Rotorua","North Island general electorates","20 Years or More",384
"Middle East and Africa","Rotorua","North Island general electorates","20 Years or More",114
"Other","Rotorua","North Island general electorates","20 Years or More",12
"Not elsewhere included(7)","Rotorua","North Island general electorates","20 Years or More",NA
"Australia(3)","Tamaki","North Island general electorates","20 Years or More",456
"Pacific Islands(4)","Tamaki","North Island general electorates","20 Years or More",960
"United Kingdom and Ireland(5)","Tamaki","North Island general electorates","20 Years or More",2082
"Europe (excluding United Kingdom and Ireland)","Tamaki","North Island general electorates","20 Years or More",498
"North America","Tamaki","North Island general electorates","20 Years or More",204
"Asia","Tamaki","North Island general electorates","20 Years or More",1293
"Middle East and Africa","Tamaki","North Island general electorates","20 Years or More",300
"Other","Tamaki","North Island general electorates","20 Years or More",72
"Not elsewhere included(7)","Tamaki","North Island general electorates","20 Years or More",NA
"Australia(3)","Taranaki-King Country","North Island general electorates","20 Years or More",447
"Pacific Islands(4)","Taranaki-King Country","North Island general electorates","20 Years or More",114
"United Kingdom and Ireland(5)","Taranaki-King Country","North Island general electorates","20 Years or More",1728
"Europe (excluding United Kingdom and Ireland)","Taranaki-King Country","North Island general electorates","20 Years or More",429
"North America","Taranaki-King Country","North Island general electorates","20 Years or More",96
"Asia","Taranaki-King Country","North Island general electorates","20 Years or More",177
"Middle East and Africa","Taranaki-King Country","North Island general electorates","20 Years or More",84
"Other","Taranaki-King Country","North Island general electorates","20 Years or More",21
"Not elsewhere included(7)","Taranaki-King Country","North Island general electorates","20 Years or More",NA
"Australia(3)","Taupo","North Island general electorates","20 Years or More",501
"Pacific Islands(4)","Taupo","North Island general electorates","20 Years or More",594
"United Kingdom and Ireland(5)","Taupo","North Island general electorates","20 Years or More",2688
"Europe (excluding United Kingdom and Ireland)","Taupo","North Island general electorates","20 Years or More",624
"North America","Taupo","North Island general electorates","20 Years or More",138
"Asia","Taupo","North Island general electorates","20 Years or More",252
"Middle East and Africa","Taupo","North Island general electorates","20 Years or More",102
"Other","Taupo","North Island general electorates","20 Years or More",18
"Not elsewhere included(7)","Taupo","North Island general electorates","20 Years or More",NA
"Australia(3)","Tauranga","North Island general electorates","20 Years or More",462
"Pacific Islands(4)","Tauranga","North Island general electorates","20 Years or More",195
"United Kingdom and Ireland(5)","Tauranga","North Island general electorates","20 Years or More",2532
"Europe (excluding United Kingdom and Ireland)","Tauranga","North Island general electorates","20 Years or More",459
"North America","Tauranga","North Island general electorates","20 Years or More",162
"Asia","Tauranga","North Island general electorates","20 Years or More",318
"Middle East and Africa","Tauranga","North Island general electorates","20 Years or More",168
"Other","Tauranga","North Island general electorates","20 Years or More",21
"Not elsewhere included(7)","Tauranga","North Island general electorates","20 Years or More",NA
"Australia(3)","Te Atatu","North Island general electorates","20 Years or More",408
"Pacific Islands(4)","Te Atatu","North Island general electorates","20 Years or More",2205
"United Kingdom and Ireland(5)","Te Atatu","North Island general electorates","20 Years or More",2106
"Europe (excluding United Kingdom and Ireland)","Te Atatu","North Island general electorates","20 Years or More",579
"North America","Te Atatu","North Island general electorates","20 Years or More",117
