"level0","level1","level2","Māori descent indicator(1) ","count"
"65–69 Years","Northland","North Island general electorates","Don't Know",81
"70–74 Years","Northland","North Island general electorates","Don't Know",60
"75–79 Years","Northland","North Island general electorates","Don't Know",39
"80–84 Years","Northland","North Island general electorates","Don't Know",15
"85 Years And Over","Northland","North Island general electorates","Don't Know",6
"18 Years And Over","Northland","North Island general electorates","Don't Know",1356
"0–4 Years","Ohariu","North Island general electorates","Don't Know",66
"5–9 Years","Ohariu","North Island general electorates","Don't Know",72
"10–14 Years","Ohariu","North Island general electorates","Don't Know",81
"15–19 Years","Ohariu","North Island general electorates","Don't Know",105
"20–24 Years","Ohariu","North Island general electorates","Don't Know",99
"25–29 Years","Ohariu","North Island general electorates","Don't Know",69
"30–34 Years","Ohariu","North Island general electorates","Don't Know",54
"35–39 Years","Ohariu","North Island general electorates","Don't Know",72
"40–44 Years","Ohariu","North Island general electorates","Don't Know",105
"45–49 Years","Ohariu","North Island general electorates","Don't Know",87
"50–54 Years","Ohariu","North Island general electorates","Don't Know",81
"55–59 Years","Ohariu","North Island general electorates","Don't Know",51
"60–64 Years","Ohariu","North Island general electorates","Don't Know",24
"65–69 Years","Ohariu","North Island general electorates","Don't Know",21
"70–74 Years","Ohariu","North Island general electorates","Don't Know",9
"75–79 Years","Ohariu","North Island general electorates","Don't Know",9
"80–84 Years","Ohariu","North Island general electorates","Don't Know",6
"85 Years And Over","Ohariu","North Island general electorates","Don't Know",9
"18 Years And Over","Ohariu","North Island general electorates","Don't Know",741
"0–4 Years","Otaki","North Island general electorates","Don't Know",78
"5–9 Years","Otaki","North Island general electorates","Don't Know",120
"10–14 Years","Otaki","North Island general electorates","Don't Know",111
"15–19 Years","Otaki","North Island general electorates","Don't Know",153
"20–24 Years","Otaki","North Island general electorates","Don't Know",102
"25–29 Years","Otaki","North Island general electorates","Don't Know",84
"30–34 Years","Otaki","North Island general electorates","Don't Know",57
"35–39 Years","Otaki","North Island general electorates","Don't Know",81
"40–44 Years","Otaki","North Island general electorates","Don't Know",90
"45–49 Years","Otaki","North Island general electorates","Don't Know",75
"50–54 Years","Otaki","North Island general electorates","Don't Know",117
"55–59 Years","Otaki","North Island general electorates","Don't Know",84
"60–64 Years","Otaki","North Island general electorates","Don't Know",57
"65–69 Years","Otaki","North Island general electorates","Don't Know",51
"70–74 Years","Otaki","North Island general electorates","Don't Know",42
"75–79 Years","Otaki","North Island general electorates","Don't Know",27
"80–84 Years","Otaki","North Island general electorates","Don't Know",18
"85 Years And Over","Otaki","North Island general electorates","Don't Know",18
"18 Years And Over","Otaki","North Island general electorates","Don't Know",963
"0–4 Years","Pakuranga","North Island general electorates","Don't Know",48
"5–9 Years","Pakuranga","North Island general electorates","Don't Know",60
"10–14 Years","Pakuranga","North Island general electorates","Don't Know",66
"15–19 Years","Pakuranga","North Island general electorates","Don't Know",81
"20–24 Years","Pakuranga","North Island general electorates","Don't Know",81
"25–29 Years","Pakuranga","North Island general electorates","Don't Know",42
"30–34 Years","Pakuranga","North Island general electorates","Don't Know",51
"35–39 Years","Pakuranga","North Island general electorates","Don't Know",57
"40–44 Years","Pakuranga","North Island general electorates","Don't Know",57
"45–49 Years","Pakuranga","North Island general electorates","Don't Know",54
"50–54 Years","Pakuranga","North Island general electorates","Don't Know",45
"55–59 Years","Pakuranga","North Island general electorates","Don't Know",39
"60–64 Years","Pakuranga","North Island general electorates","Don't Know",39
"65–69 Years","Pakuranga","North Island general electorates","Don't Know",36
"70–74 Years","Pakuranga","North Island general electorates","Don't Know",15
"75–79 Years","Pakuranga","North Island general electorates","Don't Know",12
"80–84 Years","Pakuranga","North Island general electorates","Don't Know",6
"85 Years And Over","Pakuranga","North Island general electorates","Don't Know",6
"18 Years And Over","Pakuranga","North Island general electorates","Don't Know",573
"0–4 Years","Palmerston North","North Island general electorates","Don't Know",129
"5–9 Years","Palmerston North","North Island general electorates","Don't Know",111
"10–14 Years","Palmerston North","North Island general electorates","Don't Know",129
"15–19 Years","Palmerston North","North Island general electorates","Don't Know",195
"20–24 Years","Palmerston North","North Island general electorates","Don't Know",216
"25–29 Years","Palmerston North","North Island general electorates","Don't Know",138
"30–34 Years","Palmerston North","North Island general electorates","Don't Know",111
"35–39 Years","Palmerston North","North Island general electorates","Don't Know",96
"40–44 Years","Palmerston North","North Island general electorates","Don't Know",105
"45–49 Years","Palmerston North","North Island general electorates","Don't Know",69
"50–54 Years","Palmerston North","North Island general electorates","Don't Know",66
"55–59 Years","Palmerston North","North Island general electorates","Don't Know",72
"60–64 Years","Palmerston North","North Island general electorates","Don't Know",39
"65–69 Years","Palmerston North","North Island general electorates","Don't Know",30
"70–74 Years","Palmerston North","North Island general electorates","Don't Know",18
"75–79 Years","Palmerston North","North Island general electorates","Don't Know",12
"80–84 Years","Palmerston North","North Island general electorates","Don't Know",12
"85 Years And Over","Palmerston North","North Island general electorates","Don't Know",3
"18 Years And Over","Palmerston North","North Island general electorates","Don't Know",1089
"0–4 Years","Papakura","North Island general electorates","Don't Know",168
"5–9 Years","Papakura","North Island general electorates","Don't Know",135
"10–14 Years","Papakura","North Island general electorates","Don't Know",141
"15–19 Years","Papakura","North Island general electorates","Don't Know",159
"20–24 Years","Papakura","North Island general electorates","Don't Know",156
"25–29 Years","Papakura","North Island general electorates","Don't Know",111
"30–34 Years","Papakura","North Island general electorates","Don't Know",108
"35–39 Years","Papakura","North Island general electorates","Don't Know",90
"40–44 Years","Papakura","North Island general electorates","Don't Know",111
"45–49 Years","Papakura","North Island general electorates","Don't Know",96
"50–54 Years","Papakura","North Island general electorates","Don't Know",81
"55–59 Years","Papakura","North Island general electorates","Don't Know",63
"60–64 Years","Papakura","North Island general electorates","Don't Know",48
"65–69 Years","Papakura","North Island general electorates","Don't Know",30
"70–74 Years","Papakura","North Island general electorates","Don't Know",21
"75–79 Years","Papakura","North Island general electorates","Don't Know",3
"80–84 Years","Papakura","North Island general electorates","Don't Know",6
"85 Years And Over","Papakura","North Island general electorates","Don't Know",3
